subset,,1,num_trips,avg_duration,hours,minutes,seconds
all,1048,815,215,660.3209302325581,0.0,11.0,0.0
all,1048,151,34,654.1470588235294,0.0,10.0,54.0
all,1048,1046,344,357.50581395348837,0.0,5.0,57.0
all,1048,156,92,588.25,0.0,9.0,48.0
all,1048,3,105,1222.2571428571428,0.0,20.0,22.0
all,1048,49,426,326.5399061032864,0.0,5.0,26.0
all,1048,83,245,542.334693877551,0.0,9.0,2.0
all,1048,641,24,257.375,0.0,4.0,17.0
all,1048,789,154,545.5194805194806,0.0,9.0,5.0
all,1048,644,142,489.2464788732394,0.0,8.0,9.0
all,1048,87,94,827.8191489361702,0.0,13.0,47.0
all,1048,220,413,579.1234866828087,0.0,9.0,39.0
all,1048,809,372,275.22849462365593,0.0,4.0,35.0
all,1048,150,164,463.4024390243902,0.0,7.0,43.0
all,1048,803,305,577.088524590164,0.0,9.0,37.0
all,1048,98,63,539.8888888888889,0.0,8.0,59.0
all,1048,795,303,499.25742574257424,0.0,8.0,19.0
all,1048,790,180,416.0888888888889,0.0,6.0,56.0
all,1048,640,8,517.5,0.0,8.0,37.0
all,1048,217,123,384.520325203252,0.0,6.0,24.0
all,1048,214,122,495.6393442622951,0.0,8.0,15.0
all,1048,797,300,870.1233333333333,0.0,14.0,30.0
all,1048,221,156,910.7371794871794,0.0,15.0,10.0
all,1048,219,95,1282.9789473684211,0.0,21.0,22.0
all,1048,140,9,389.1111111111111,0.0,6.0,29.0
all,1048,799,19,529.8947368421053,0.0,8.0,49.0
all,1048,132,267,434.89138576779027,0.0,7.0,14.0
all,1048,116,8,1113.25,0.0,18.0,33.0
all,1048,1044,269,465.7620817843866,0.0,7.0,45.0
all,1048,117,56,896.3928571428571,0.0,14.0,56.0
all,1048,222,42,900.8571428571429,0.0,15.0,0.0
all,1048,788,43,913.5348837209302,0.0,15.0,13.0
all,1048,806,195,758.148717948718,0.0,12.0,38.0
all,1048,24,30,1008.8666666666667,0.0,16.0,48.0
all,1048,792,225,764.04,0.0,12.0,44.0
all,1048,793,16,1249.3125,0.0,20.0,49.0
all,1048,812,81,910.7037037037037,0.0,15.0,10.0
all,1048,1047,0,,,,
all,1048,5,148,774.8175675675676,0.0,12.0,54.0
all,1048,157,271,403.41328413284134,0.0,6.0,43.0
all,1048,810,91,418.6923076923077,0.0,6.0,58.0
all,1048,34,56,704.0714285714286,0.0,11.0,44.0
all,1048,908,183,436.24590163934425,0.0,7.0,16.0
all,1048,816,88,414.8068181818182,0.0,6.0,54.0
all,1048,69,512,356.599609375,0.0,5.0,56.0
all,1048,301,130,364.4923076923077,0.0,6.0,4.0
all,1048,642,23,398.39130434782606,0.0,6.0,38.0
all,1048,131,96,298.5625,0.0,4.0,58.0
all,1048,33,6,289.6666666666667,0.0,4.0,49.0
all,1048,791,46,337.1304347826087,0.0,5.0,37.0
all,1048,298,11,391.09090909090907,0.0,6.0,31.0
all,1048,800,1,115.0,0.0,1.0,55.0
all,1048,804,30,1157.2,0.0,19.0,17.0
all,1048,818,62,407.0967741935484,0.0,6.0,47.0
all,1048,1049,120,368.375,0.0,6.0,8.0
all,1048,646,354,476.8502824858757,0.0,7.0,56.0
all,1048,639,162,427.25925925925924,0.0,7.0,7.0
all,1048,212,0,,,,
all,1048,223,191,577.5392670157069,0.0,9.0,37.0
all,1048,368,48,1201.5416666666667,0.0,20.0,1.0
all,1048,807,35,1109.0,0.0,18.0,29.0
all,1048,22,179,656.68156424581,0.0,10.0,56.0
all,1048,1816,657,391.9558599695586,0.0,6.0,31.0
all,1048,82,324,266.15432098765433,0.0,4.0,26.0
all,1048,811,119,397.84033613445376,0.0,6.0,37.0
all,1048,798,249,509.0,0.0,8.0,29.0
all,1048,2,89,471.69662921348316,0.0,7.0,51.0
all,1048,645,222,688.2972972972973,0.0,11.0,28.0
all,1048,802,20,414.05,0.0,6.0,54.0
all,1048,647,141,416.7163120567376,0.0,6.0,56.0
all,1048,216,35,467.74285714285713,0.0,7.0,47.0
all,1048,796,300,736.0933333333334,0.0,12.0,16.0
all,1048,801,78,526.3333333333334,0.0,8.0,46.0
all,1048,1892,103,601.8155339805825,0.0,10.0,1.0
all,1048,36,133,490.22556390977445,0.0,8.0,10.0
all,1048,1889,70,942.7,0.0,15.0,42.0
all,1048,1888,35,783.2,0.0,13.0,3.0
all,1048,1891,15,471.73333333333335,0.0,7.0,51.0
all,1048,70,43,351.7674418604651,0.0,5.0,51.0
all,1048,1890,51,1113.1764705882354,0.0,18.0,33.0
all,1048,138,17,250.7058823529412,0.0,4.0,10.0
all,1048,1887,23,307.0,0.0,5.0,7.0
all,1048,1893,120,1115.225,0.0,18.0,35.0
all,1048,1894,20,1298.65,0.0,21.0,38.0
all,1048,1895,44,379.77272727272725,0.0,6.0,19.0
all,1048,1899,16,1090.375,0.0,18.0,10.0
all,1048,1896,18,841.7777777777778,0.0,14.0,1.0
all,1048,808,23,746.7391304347826,0.0,12.0,26.0
all,1048,1898,2,1323.5,0.0,22.0,3.0
all,1048,1897,42,1041.7380952380952,0.0,17.0,21.0
all,1048,1900,14,754.2142857142857,0.0,12.0,34.0
all,58,215,56,268.94642857142856,0.0,4.0,28.0
all,58,817,83,806.566265060241,0.0,13.0,26.0
all,58,814,77,565.7532467532468,0.0,9.0,25.0
all,58,1048,24,961.5,0.0,16.0,1.0
all,58,58,81,509.1975308641975,0.0,8.0,29.0
all,58,638,5,1294.2,0.0,21.0,34.0
all,58,1043,48,466.4375,0.0,7.0,46.0
all,58,819,34,549.0588235294117,0.0,9.0,9.0
all,58,1045,88,662.4659090909091,0.0,11.0,2.0
all,58,367,26,1194.423076923077,0.0,19.0,54.0
all,58,7,25,885.8,0.0,14.0,45.0
all,58,8,33,1113.7575757575758,0.0,18.0,33.0
all,58,794,153,1140.0588235294117,0.0,19.0,0.0
all,58,75,12,1452.4166666666667,0.0,24.0,12.0
all,58,815,8,1653.5,0.0,27.0,33.0
all,58,151,6,1311.6666666666667,0.0,21.0,51.0
all,58,1046,81,1503.3703703703704,0.0,25.0,3.0
all,58,156,21,817.1428571428571,0.0,13.0,37.0
all,58,3,76,611.6842105263158,0.0,10.0,11.0
all,58,49,19,951.0,0.0,15.0,51.0
all,58,83,3,1612.6666666666667,0.0,26.0,52.0
all,58,641,10,1073.1,0.0,17.0,53.0
all,58,789,45,1192.9777777777779,0.0,19.0,52.0
all,58,644,6,1085.0,0.0,18.0,5.0
all,58,87,15,1646.7333333333333,0.0,27.0,26.0
all,58,220,25,1165.2,0.0,19.0,25.0
all,58,809,40,1043.825,0.0,17.0,23.0
all,58,150,27,949.5185185185185,0.0,15.0,49.0
all,58,803,140,603.7071428571429,0.0,10.0,3.0
all,58,98,0,,,,
all,58,795,113,667.3274336283185,0.0,11.0,7.0
all,58,790,111,785.936936936937,0.0,13.0,5.0
all,58,640,15,894.8666666666667,0.0,14.0,54.0
all,58,217,7,1375.0,0.0,22.0,55.0
all,58,214,16,1358.4375,0.0,22.0,38.0
all,58,797,124,537.0725806451613,0.0,8.0,57.0
all,58,221,16,1663.6875,0.0,27.0,43.0
all,58,219,9,1859.7777777777778,0.0,30.0,59.0
all,58,140,1,1131.0,0.0,18.0,51.0
all,58,799,9,1158.4444444444443,0.0,19.0,18.0
all,58,132,36,845.6111111111111,0.0,14.0,5.0
all,58,116,17,591.7058823529412,0.0,9.0,51.0
all,58,1044,180,1085.2833333333333,0.0,18.0,5.0
all,58,117,29,1120.7241379310344,0.0,18.0,40.0
all,58,222,22,1060.4545454545455,0.0,17.0,40.0
all,58,788,59,831.8644067796611,0.0,13.0,51.0
all,58,806,195,542.5846153846154,0.0,9.0,2.0
all,58,24,39,505.7435897435897,0.0,8.0,25.0
all,58,792,188,580.813829787234,0.0,9.0,40.0
all,58,793,27,393.8888888888889,0.0,6.0,33.0
all,58,812,169,359.11242603550295,0.0,5.0,59.0
all,58,1047,2,425.5,0.0,7.0,5.0
all,58,5,67,484.46268656716416,0.0,8.0,4.0
all,58,157,163,848.9079754601227,0.0,14.0,8.0
all,58,810,30,910.7,0.0,15.0,10.0
all,58,34,49,759.7142857142857,0.0,12.0,39.0
all,58,908,25,661.0,0.0,11.0,1.0
all,58,816,26,907.6153846153846,0.0,15.0,7.0
all,58,69,59,787.9152542372881,0.0,13.0,7.0
all,58,301,15,775.2666666666667,0.0,12.0,55.0
all,58,642,15,633.6666666666666,0.0,10.0,33.0
all,58,131,34,783.6176470588235,0.0,13.0,3.0
all,58,33,2,816.0,0.0,13.0,36.0
all,58,791,32,870.875,0.0,14.0,30.0
all,58,298,24,1549.4583333333333,0.0,25.0,49.0
all,58,800,0,,,,
all,58,804,12,837.9166666666666,0.0,13.0,57.0
all,58,818,9,917.0,0.0,15.0,17.0
all,58,1049,27,849.4444444444445,0.0,14.0,9.0
all,58,646,50,1370.14,0.0,22.0,50.0
all,58,639,13,1167.6923076923076,0.0,19.0,27.0
all,58,212,0,,,,
all,58,223,18,1355.0555555555557,0.0,22.0,35.0
all,58,368,7,1500.857142857143,0.0,25.0,0.0
all,58,807,4,1827.25,0.0,30.0,27.0
all,58,22,12,1197.6666666666667,0.0,19.0,57.0
all,58,1816,68,1257.764705882353,0.0,20.0,57.0
all,58,82,25,1142.4,0.0,19.0,2.0
all,58,811,7,1129.0,0.0,18.0,49.0
all,58,798,27,1004.1851851851852,0.0,16.0,44.0
all,58,2,18,1029.611111111111,0.0,17.0,9.0
all,58,645,212,593.9528301886793,0.0,9.0,53.0
all,58,802,1,792.0,0.0,13.0,12.0
all,58,647,8,1399.75,0.0,23.0,19.0
all,58,216,5,1229.0,0.0,20.0,29.0
all,58,796,188,687.8829787234042,0.0,11.0,27.0
all,58,801,16,839.8125,0.0,13.0,59.0
all,58,1892,95,706.0947368421052,0.0,11.0,46.0
all,58,36,19,1015.4736842105264,0.0,16.0,55.0
all,58,1889,20,888.3,0.0,14.0,48.0
