subset,end_station_id,hour,avg_trips
all,221,13,3.4152542372881354
all,221,14,4.0508474576271185
all,221,15,3.505649717514124
all,221,16,2.861581920903955
all,221,17,2.0847457627118646
all,221,18,1.9858757062146892
all,221,19,1.5903954802259888
all,221,20,1.1779661016949152
all,221,21,0.6751412429378532
all,221,22,0.3672316384180791
all,221,23,0.09322033898305085
all,222,5,0.7005649717514124
all,222,6,0.7627118644067796
all,222,7,0.6384180790960452
all,222,8,0.7824858757062146
all,222,9,1.1045197740112995
all,222,10,1.576271186440678
all,222,11,1.7429378531073447
all,222,12,2.4519774011299433
all,222,13,3.053672316384181
all,222,14,3.5847457627118646
all,222,15,3.3220338983050848
all,222,16,2.977401129943503
all,222,17,2.1553672316384183
all,222,18,1.7062146892655368
all,222,19,1.4576271186440677
all,222,20,1.2033898305084745
all,222,21,0.9463276836158192
all,222,22,0.3333333333333333
all,222,23,0.10734463276836158
all,223,5,0.005649717514124294
all,223,6,0.07627118644067797
all,223,7,0.04519774011299435
all,223,8,0.04519774011299435
all,223,9,0.07909604519774012
all,223,10,0.1497175141242938
all,223,11,0.1638418079096045
all,223,12,0.15254237288135594
all,223,13,0.1016949152542373
all,223,14,0.1016949152542373
all,223,15,0.03954802259887006
all,223,16,0.11581920903954802
all,223,17,0.08192090395480225
all,223,18,0.02824858757062147
all,223,19,0.04519774011299435
all,223,20,0.011299435028248588
all,223,21,0.005649717514124294
all,223,22,0.005649717514124294
all,223,23,0.002824858757062147
all,298,5,0.1016949152542373
all,298,6,0.14689265536723164
all,298,7,0.18926553672316385
all,298,8,0.21468926553672316
all,298,9,0.3389830508474576
all,298,10,0.3446327683615819
all,298,11,0.3954802259887006
all,298,12,0.4943502824858757
all,298,13,0.8615819209039548
all,298,14,0.9915254237288136
all,298,15,0.7994350282485876
all,298,16,0.7005649717514124
all,298,17,0.711864406779661
all,298,18,0.6045197740112994
all,298,19,0.4406779661016949
all,298,20,0.2937853107344633
all,298,21,0.20903954802259886
all,298,22,0.08757062146892655
all,298,23,0.02824858757062147
all,301,5,1.3333333333333333
all,301,6,2.6497175141242937
all,301,7,2.5677966101694913
all,301,8,1.9350282485875707
all,301,9,2.135593220338983
all,301,10,2.531073446327684
all,301,11,2.531073446327684
all,301,12,2.480225988700565
all,301,13,2.983050847457627
all,301,14,3.6016949152542375
all,301,15,3.7824858757062145
all,301,16,3.361581920903955
all,301,17,2.440677966101695
all,301,18,1.6355932203389831
all,301,19,0.7542372881355932
all,301,20,0.4152542372881356
all,301,21,0.2711864406779661
all,301,22,0.13559322033898305
all,301,23,0.03672316384180791
all,367,5,0.21468926553672316
all,367,6,0.3926553672316384
all,367,7,0.2853107344632768
all,367,8,0.1807909604519774
all,367,9,0.1327683615819209
all,367,10,0.2598870056497175
all,367,11,0.22598870056497175
all,367,12,0.2542372881355932
all,367,13,0.1977401129943503
all,367,14,0.24293785310734464
all,367,15,0.2966101694915254
all,367,16,0.2062146892655367
all,367,17,0.18361581920903955
all,367,18,0.14124293785310735
all,367,19,0.15819209039548024
all,367,20,0.09887005649717515
all,367,21,0.07344632768361582
all,367,22,0.04519774011299435
all,367,23,0.00847457627118644
all,368,5,3.9152542372881354
all,368,6,6.177966101694915
all,368,7,5.553672316384181
all,368,8,4.9124293785310735
all,368,9,5.5790960451977405
all,368,10,6.754237288135593
all,368,11,7.720338983050848
all,368,12,9.305084745762711
all,368,13,11.872881355932204
all,368,14,12.937853107344633
all,368,15,10.932203389830509
all,368,16,9.491525423728813
all,368,17,7.822033898305085
all,368,18,6.27683615819209
all,368,19,4.522598870056497
all,368,20,3.4915254237288136
all,368,21,2.468926553672316
all,368,22,1.2768361581920904
all,368,23,0.3757062146892655
all,638,5,0.576271186440678
all,638,6,0.615819209039548
all,638,7,0.3333333333333333
all,638,8,0.3333333333333333
all,638,9,0.4632768361581921
all,638,10,0.711864406779661
all,638,11,0.8559322033898306
all,638,12,1.1299435028248588
all,638,13,2.1807909604519775
all,638,14,2.516949152542373
all,638,15,2.23728813559322
all,638,16,1.5677966101694916
all,638,17,1.3135593220338984
all,638,18,1.2203389830508475
all,638,19,1.189265536723164
all,638,20,0.9096045197740112
all,638,21,0.6892655367231638
all,638,22,0.24293785310734464
all,638,23,0.1016949152542373
all,639,5,1.5593220338983051
all,639,6,2.2231638418079096
all,639,7,1.6412429378531073
all,639,8,0.884180790960452
all,639,9,0.8559322033898306
all,639,10,0.980225988700565
all,639,11,1.0536723163841808
all,639,12,1.268361581920904
all,639,13,1.8757062146892656
all,639,14,2.132768361581921
all,639,15,2.138418079096045
all,639,16,1.844632768361582
all,639,17,1.5593220338983051
all,639,18,1.2401129943502824
all,639,19,1.1355932203389831
all,639,20,0.9745762711864406
all,639,21,0.6242937853107344
all,639,22,0.2598870056497175
all,639,23,0.11299435028248588
all,640,5,0.7033898305084746
all,640,6,1.0875706214689265
all,640,7,0.8361581920903954
all,640,8,0.6751412429378532
all,640,9,1.1045197740112995
all,640,10,1.3305084745762712
all,640,11,1.6101694915254237
all,640,12,2.34180790960452
all,640,13,3.519774011299435
all,640,14,4.494350282485875
all,640,15,4.364406779661017
all,640,16,3.725988700564972
all,640,17,3.4237288135593222
all,640,18,2.6920903954802258
all,640,19,2.1977401129943503
all,640,20,1.8700564971751412
all,640,21,1.1327683615819208
all,640,22,0.5903954802259888
all,640,23,0.14124293785310735
all,641,5,3.0338983050847457
all,641,6,3.1638418079096047
all,641,7,2.92090395480226
all,641,8,1.7542372881355932
all,641,9,1.655367231638418
all,641,10,2.036723163841808
all,641,11,2.2457627118644066
all,641,12,3.3926553672316384
all,641,13,4.686440677966102
all,641,14,6.093220338983051
all,641,15,5.254237288135593
all,641,16,4.596045197740113
all,641,17,3.830508474576271
all,641,18,3.6045197740112993
all,641,19,3.062146892655367
all,641,20,2.5338983050847457
all,641,21,2.0508474576271185
all,641,22,0.8559322033898306
all,641,23,0.2598870056497175
all,642,5,0.3587570621468927
all,642,6,0.3644067796610169
all,642,7,0.2288135593220339
all,642,8,0.1807909604519774
all,642,9,0.22598870056497175
all,642,10,0.2966101694915254
all,642,11,0.4011299435028249
all,642,12,0.4943502824858757
all,642,13,0.7994350282485876
all,642,14,0.9858757062146892
all,642,15,0.9011299435028248
all,642,16,0.9293785310734464
all,642,17,0.8022598870056498
all,642,18,0.7994350282485876
all,642,19,0.9265536723163842
all,642,20,0.788135593220339
all,642,21,0.7457627118644068
all,642,22,0.3135593220338983
all,642,23,0.12994350282485875
all,644,5,2.152542372881356
